"State","educationScore","educationAttainmentRank","educationQualityRank"
"Massachusetts","80.0600","1","1"
"Maryland","73.2100","2","4"
"Vermont","70.0700","3","5"
"Connecticut","68.2200","4","17"
"Colorado","67.9700","5","31"
"Virginia","66.9800","6","9"
"New Hampshire","66.3200","7","20"
"Minnesota","65.5700","8","11"
"Utah","64.5300","9","6"
"Washington","63.7700","10","16"
"New Jersey","62.9300","11","10"
"New York","56.7300","12","12"
"Oregon","55.7100","13","37"
"Hawaii","55.6500","14","28"
"Illinois","55.6200","15","21"
"Delaware","55.4000","16","7"
"Maine","54.9100","17","15"
"Montana","53.3700","18","41"
"Kansas","53.3100","19","38"
"Wisconsin","53.2300","20","14"
"Rhode Island","52.9500","21","13"
"Nebraska","52.0800","22","33"
"North Dakota","52.0200","23","23"
"Wyoming","51.2500","24","29"
"California","50.0300","25","2"
"Iowa","49.6900","26","18"
"Alaska","49.1900","27","49"
"Florida","48.8600","28","3"
"Pennsylvania","48.7400","29","22"
"Michigan","48.6600","30","35"
"North Carolina","46.0300","31","26"
"Ohio","45.0800","32","25"
"Georgia","44.9600","33","24"
"Missouri","44.5000","34","36"
"South Dakota","44.1200","35","43"
"Arizona","42.6100","36","40"
"Indiana","41.8200","37","8"
"Idaho","41.6600","38","47"
"Texas","37.1200","39","19"
"New Mexico","36.3200","40","45"
"Tennessee","35.8500","41","32"
"South Carolina","34.7700","42","46"
"Oklahoma","34.4300","43","39"
"Nevada","33.3100","44","34"
"Kentucky","32.1500","45","27"
"Alabama","30.2300","46","44"
"Arkansas","27.9000","47","30"
"Louisiana","22.5700","48","48"
"West Virginia","21.0200","49","42"
"Mississippi","19.3200","50","50"
